base,serie,vies,n_total,n_priv,n_desp,ci,spd_dados,abs_spd_dados,di
pd_v0,PD,0.0,50979,32334,18645,0.2685223327252398,0.20154952971999174,0.20154952971999174,1.2809615216195824
pd_v0.25,PD,0.25,68423,49307,19116,0.44124051853908774,-0.35038649386290177,0.35038649386290177,0.5842596291053495
pd_v0.5,PD,0.5,84150,61201,22949,0.45456922162804514,-0.6811689616486195,0.6811689616486195,0.3080103973531445
pd_v0.75,PD,0.75,109568,74602,34966,0.36174795560747663,-0.712381945335867,0.712381945335867,0.258019184570598
pd_v1,PD,1.0,117217,82719,34498,0.41138230802699266,-0.8749782596092527,0.8749782596092527,0.1250217403907473
gs_v0,GS,0.0,51363,23508,27855,-0.08463290695636937,-0.055420668672789386,0.055420668672789386,0.931299879816498
gs_v0.25,GS,0.25,73008,16395,56613,-0.5508711374095989,0.08951970319536295,0.08951970319536295,1.1322230210709887
gs_v0.5,GS,0.5,109132,10644,98488,-0.8049334750577283,0.05412139707201902,0.05412139707201902,1.0773453478027082
gs_v0.75,GS,0.75,130055,3618,126437,-0.9443620006920149,-0.22517933832659742,0.22517933832659742,0.7748206616734026
gs_v1,GS,1.0,131008,0,131008,-1.0,,,
